rank,file_path,hotspot_score,total_churn,commit_count,unique_contributors,sonar_issue_count,github_issue_signal,github_issue_matches,highest_severity,severity_breakdown
354,src/backend/core/tests/rooms/test_api_rooms_update.py,0.001518618681090077,146,4,1,0.0,0.00253592561284869,0,NONE,
355,src/frontend/src/features/rooms/livekit/components/blur/BackgroundBlurTrackProcessorJsWrapper.ts,0.001518618681090077,146,6,3,0.0,0.00253592561284869,0,NONE,
356,src/frontend/src/locales/en/global.json,0.0015082171832743916,145,35,3,0.0,0.00253592561284869,0,NONE,
357,src/helm/meet/templates/agents_deployment.yaml,0.0015082171832743916,145,3,2,0.0,0.00253592561284869,0,NONE,
358,src/frontend/src/styles/index.css,0.001497815685458706,144,20,5,0.0,0.00253592561284869,0,NONE,
359,src/helm/impress/templates/ingress_ws.yaml,0.001497815685458706,144,2,2,0.0,0.00253592561284869,0,NONE,
360,docs/features/recording.md,0.0014874141876430205,143,1,1,0.0,0.00253592561284869,0,NONE,
361,src/frontend/src/features/rooms/livekit/components/blur/UnifiedBackgroundTrackProcessor.ts,0.0014770126898273352,142,3,2,0.0,0.00253592561284869,0,NONE,
362,src/summary/summary/main.py,0.0014770126898273352,142,5,2,0.0,0.00253592561284869,0,NONE,
363,src/backend/core/tests/files/test_api_files_media_auth.py,0.0014666111920116497,141,1,1,0.0,0.00253592561284869,0,NONE,
364,src/frontend/src/locales/fr/global.json,0.0014666111920116497,141,33,3,0.0,0.00253592561284869,0,NONE,
365,src/summary/summary/core/prompt.py,0.0014666111920116497,141,4,2,0.0,0.00253592561284869,0,NONE,
366,src/agents/pyproject.toml,0.0014458081963802788,139,33,3,0.0,0.00253592561284869,0,NONE,
367,src/frontend/src/primitives/A.tsx,0.0014146037029332224,136,11,2,0.0,0.00253592561284869,0,NONE,
368,src/helm/impress/templates/backend_deployment.yaml,0.0014146037029332224,136,1,1,0.0,0.00253592561284869,0,NONE,
369,src/helm/impress/templates/frontend_deployment.yaml,0.0014146037029332224,136,1,1,0.0,0.00253592561284869,0,NONE,
370,src/frontend/src/locales/en/legals.json,0.001404202205117537,135,2,1,0.0,0.00253592561284869,0,NONE,
371,src/frontend/src/locales/nl/legals.json,0.001404202205117537,135,2,1,0.0,0.00253592561284869,0,NONE,
372,src/summary/summary/celery_worker.py,0.001404202205117537,135,2,1,0.0,0.00253592561284869,0,NONE,
373,src/backend/core/services/marketing_service.py,0.0013938007073018514,134,1,1,0.0,0.00253592561284869,0,NONE,
374,src/frontend/src/features/rooms/livekit/components/controls/ChatToggle.tsx,0.0013938007073018514,134,15,4,0.0,0.00253592561284869,0,NONE,
375,src/frontend/src/features/rooms/livekit/components/controls/SettingsDialogContext.tsx,0.0013938007073018514,134,4,2,0.0,0.00253592561284869,0,NONE,
376,src/backend/core/tests/services/test_livekit_events_service.py,0.0013729977116704805,132,1,1,0.0,0.00253592561284869,0,NONE,
377,src/frontend/src/features/rooms/livekit/components/controls/Device/SelectDevice.tsx,0.0013729977116704805,132,7,2,0.0,0.00253592561284869,0,NONE,
378,src/frontend/src/locales/fr/legals.json,0.0013625962138547952,131,2,1,0.0,0.00253592561284869,0,NONE,
379,src/frontend/src/features/rooms/livekit/components/controls/PaginationControl.tsx,0.0013521947160391097,130,4,1,0.0,0.00253592561284869,0,NONE,
380,src/frontend/src/features/reactions/components/ReactionsToggle.tsx,0.0013417932182234241,129,4,2,0.0,0.00253592561284869,0,NONE,
381,src/backend/core/services/telephony.py,0.0013313917204077388,128,2,1,0.0,0.00253592561284869,0,NONE,
382,src/frontend/src/features/legalsTerms/Accessibility.tsx,0.0013313917204077388,128,2,1,0.0,0.00253592561284869,0,NONE,
383,src/frontend/src/features/rooms/livekit/api/muteParticipant.ts,0.0013209902225920533,127,4,2,0.0,0.00253592561284869,0,NONE,
384,src/mail/mjml/invitation.mjml,0.0013209902225920533,127,3,2,0.0,0.00253592561284869,0,NONE,
385,src/sdk/consumer/src/index.css,0.0013209902225920533,127,2,2,0.0,0.00253592561284869,0,NONE,
386,src/backend/core/recording/worker/mediator.py,0.0013105887247763677,126,4,1,0.0,0.00253592561284869,0,NONE,
387,src/frontend/src/features/rooms/livekit/components/controls/SupportToggle.tsx,0.0013105887247763677,126,6,2,0.0,0.00253592561284869,0,NONE,
388,docs/examples/meet.values.yaml,0.0013001872269606824,125,3,1,0.0,0.00253592561284869,0,NONE,
